eis facility id,company name,site name,primary naics code,site latitude,site longitude,address,city,zip code,eis unit id,unit type,unit description,process description,scc
16058111,MECHANICS BANK,MECHANICS BANK,541513,38.020162,-122.27655,725 ALFRED NOBEL DR,HERCULES,94547,100527213,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13528811,VERIZON WIRELESS - ROCKLIN MTSO,VERIZON WIRELESS - ROCKLIN MTSO,541513,38.82335,-121.30501,135 CYBER CT,ROCKLIN,95648,130275513,Unclassified,8 GENERATORS,,20100102
14168811,CISCO SYSTEMS INC,CISCO SYSTEMS INC,541513,37.410948,-121.957519,325 E TASMAN DR  BLDG 5,SAN JOSE,95134,100449213,Unclassified,STANDBY DIESEL GENERATOR SET,STANDBY DIESEL GENERATOR SET,20100102
14168811,CISCO SYSTEMS INC,CISCO SYSTEMS INC,541513,37.410948,-121.957519,325 E TASMAN DR  BLDG 5,SAN JOSE,95134,83887613,Unclassified,EMERGENCY DIESEL GENERATOR SET,EMERGENCY DIESEL GENERATOR SET,20100102
13805011,PALO ALTO MEDICAL FOUNDATION,SUTTER HEALTH ENTERPRISE DATA CENTER DBA PALO ALTO MEDICAL F,541513,37.374262,-122.015425,139 KIFER COURT,SUNNYVALE,94086,141502013,Unclassified,STATIONARY STANDBY DIESEL ENGINE GENERAT,STATIONARY STANDBY DIESEL ENGINE GENERATOR,20100102
13805011,PALO ALTO MEDICAL FOUNDATION,SUTTER HEALTH ENTERPRISE DATA CENTER DBA PALO ALTO MEDICAL F,541513,37.374262,-122.015425,139 KIFER COURT,SUNNYVALE,94086,141502113,Unclassified,STATIONARY STANDBY DIESEL ENGINE GENERAT,STATIONARY STANDBY DIESEL ENGINE GENERATOR,20100102
13805011,PALO ALTO MEDICAL FOUNDATION,SUTTER HEALTH ENTERPRISE DATA CENTER DBA PALO ALTO MEDICAL F,541513,37.374262,-122.015425,139 KIFER COURT,SUNNYVALE,94086,84071413,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13805011,PALO ALTO MEDICAL FOUNDATION,SUTTER HEALTH ENTERPRISE DATA CENTER DBA PALO ALTO MEDICAL F,541513,37.374262,-122.015425,139 KIFER COURT,SUNNYVALE,94086,84071513,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100314113,Unclassified,IC ENGINES,IC ENGINE PO 19408,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118647413,Unclassified,IC ENGINES,IC ENGINE PO 21367,20100102
