left_source,left_source_id,left_name,left_address,right_source,right_source_id,right_name,right_address,score,note,distance_m,distance,name,address,operator,codes
peeringdb,5775,Crown Castle Los Angeles (624 S Grand),"624 South Grand Ave, Suite 1207",peeringdb,10932,DataBank Los Angeles (LAX1),624 S Grand Ave,0.633,,0.0,1.0,0.222,1.0,0.1,[]|['lax1']
peeringdb,3424,LADC4 - 530 W 6th St,530 W 6th St,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.632,,13.9,1.0,0.0,1.0,0.359,['ladc4']|[]
osm,way/209087373,Silicon Valley SJC31,2805 Lafayette Street,peeringdb,10830,Navisite Santa Clara,2805 Lafayette St,0.631,,76.2,0.983,0.0,1.0,0.385,['sjc31']|[]
peeringdb,642,Telecom Center LA,530 West 6th Street,peeringdb,6426,ColoCrossing LA1,530 W. 6th Street,0.629,,13.9,1.0,0.0,1.0,0.345,[]|['la1']
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,981,QuadraNet DTLA,530 West 6th Street,0.627,,0.0,1.0,0.0,1.0,0.333,[]|[]
peeringdb,981,QuadraNet DTLA,530 West 6th Street,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.627,,13.9,1.0,0.0,1.0,0.333,[]|[]
peeringdb,6422,ColoCrossing SJ1,55 S. Market Street,peeringdb,16184,Hurricane Electric San Jose 1,55 S. Market Street,0.627,,0.0,1.0,0.0,1.0,0.333,['sj1']|[]
peeringdb,1619,CoreSite - Santa Clara (SV4),2972 Stender Way,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.625,,309.6,0.734,0.167,0.615,1.0,['sv4']|[]
peeringdb,593,274 Brannan Street,274 Brannan Street,peeringdb,8727,Fortress SF1,274 Brannan Street,0.625,,3.0,1.0,0.0,1.0,0.324,[]|['sf1']
peeringdb,767,TelePacific,630 3rd Street,epa_nei,15756211,HOSTING COM,630 3RD STREET,0.625,,38.6,1.0,0.0,1.0,0.324,[]|[]
